LOCATION,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
Afghanistan,0.06,5.49,3.17,62.0,3.6,26.08,8.03,18.0,42.1,0.4,2.5,50.4,51.3,49.6,0.32,22.7,68,60,180,16.6,<0.1,13.26,32.7,0.0,55.5,42,269,34.3,41,35,58,521,24.1,16 959 219,59.1,61.0,57.4,4.81,,,,,,
Albania,10.27,58.21,18.79,9.8,2.8,8.85,1.41,0.2,6.3,0.3,0.2,66.7,67.8,65.7,10.8,21.9,100,97,15,3.2,<0.1,,10.0,5.0,9.4,93,92,6.9,64,88,85,7,10.8,3,76.4,78.6,74.4,3.4,74,,,,,
Algeria,3.57,25.08,16.6,11.0,2.2,,,,66.3,0.1,0.5,65.5,64.8,66.4,3,21.2,99,92,47,4.1,<0.1,0,13.3,0.5,22.0,93,50,15.3,74,80,89,62,18.3,7656,76.0,76.6,75.5,0.04,,,,,,
Andorra,12.11,47.22,50.68,0.5,,,,0,,0.0,,,,,9.77,36.3,100,98,5.7,,No data,,,11.1,2.6,96,,1.3,79,50,94,11,2.5,0,,,,,85,,,,,
Angola,0.07,18.73,2.44,,8.1,35.53,12.48,,29.8,4.6,1.0,53.8,54.7,52.8,0.4,,50,54,339,48.9,0.44,224.53,24.7,4.0,64.0,35,148,25.6,37,52,49,183,15.0,8 789 216,62.1,64.3,60.0,1.32,,0.4,,,,
Antigua and Barbuda,,96.5,29.17,32.7,1.5,,,0.3,,0.2,0.5,66.5,67,65.9,,,99,97,1.2,2.5,No data,,12.1,9.4,9.3,87,19,5.4,76,57,,35,7.5,254,76.9,78.4,75.2,0,1,,,,,
Argentina,10.86,47.49,51.06,25.8,7.9,9.57,2.54,0,80.3,0.0,0.3,64.8,66.2,63.4,5.8,23.8,99,66,35,11.4,<0.1,0,13.4,8.8,9.6,54,30,5.0,79,59,71,33,8.8,147 183,74.6,77.6,71.6,0.29,36,,32.8,22.5,,
Armenia,3.59,47.47,33.6,11.4,2.5,19.89,5.93,0,40.2,0.1,0.9,64.0,66.3,61.5,0.39,24.9,100,94,25,5.8,0.19,0,20.6,4.3,10.0,96,74,5.3,68,59,94,19,13.6,30,73.0,76.9,68.6,2.24,41,,,,,
Australia,6.41,134.5,40.86,6.7,13.1,2.47,0.4,0.1,,0.1,0.1,70.6,71.1,70.1,9.37,13.1,99,94,6.2,1.9,No data,,8.3,11.2,3.7,93,10,2.3,≥80 ,91,95,2,4.5,10 441,83.1,84.9,81.3,,71,,15,12.7,,
Austria,6.19,112.8,55.15,3.9,14.5,,,0.0,,0.2,0.2,69.8,70.5,69.1,7.62,24.9,98,84,5.2,2,No data,,9.9,11.8,3.1,94,17,2.0,≥80 ,67,,6,4.6,54,81.0,83.3,78.7,,53,,3.9,8.1,,
Azerbaijan,3.38,55.78,31.85,37.3,1.6,,,0,,0.1,0.4,64.0,65.0,63.0,0.62,19.6,100,83,72,3.6,<0.1,,17.4,2.3,18.6,93,122,12.8,66,67,82,18,17.2,0,72.9,75.2,70.5,0.44,,,,,,
Bahamas,2.54,42.24,18.95,,3.3,,,,,0.2,0.2,61.5,63.2,59.8,,11.3,99,87,7.8,2.6,0.16,,20.4,6.9,12.7,53,10,9.2,77,60,81,76,16.2,243,70.4,73.5,67.3,,9,,,,,
Bahrain,0.8,26.48,7.41,7.2,4.7,4.88,1.4,,,0.0,0.2,64.2,63.0,64.8,1.65,15.0,98,99,12,0.8,No data,,14.8,1.7,8.6,99,68,4.4,76,92,98,17,8.1,0,74.4,75.1,73.8,,,,42.1,63,,
Bangladesh,0.76,6.64,7.22,71.2,2.8,24.42,8.45,0,73.9,0.5,0.1,63.1,63.0,63.1,1.1,32.9,70,98,221,18.2,<0.01,1.10,18.1,0.0,30.6,93,144,17.9,52,69,99,115,18.6,57 177 911,73.1,74.6,71.6,1.76,21,,88.5,90,,
Barbados,3.14,36.66,29.58,,3.5,16.37,3.82,,,0.2,0.1,66.7,67.1,66.2,11.41,7.0,98,85,0.81,7.7,0.14,,14.0,9.5,10.0,76,19,6.9,77,67,86,35,10.0,771,76.8,78.4,75.1,0,50,0.3,,,,
Belarus,6.09,108.15,47.17,11.6,15.6,16.54,1.16,0.0,66,0.3,1.6,63.7,66.8,60.5,4.5,30.1,100,98,27,1.6,<0.1,,23.8,11.4,2.4,95,70,0.8,79,96,,1,7.4,0,73.1,78.1,68.1,0.67,,,,,10.0,
Belgium,11.92,128.85,65.25,4.3,18.4,,,0,,0.1,0.4,69.8,70.3,69.3,21.18,26.7,,98,7.5,5.3,No data,,9.2,8.7,3.6,82,15,2.1,≥80 ,76,94,4,4.6,61,81.5,83.7,79.3,,72,1.2,4.6,8.9,7.8,
Belize,1.71,20.6,10.86,52.1,4.2,6.2,3.1,1.4,64.9,0.6,0.2,63.8,64.7,63.0,7.7,8.8,95,85,27,4.3,0.39,0,15.4,5.1,12.7,88,40,9.3,68,55,,67,17.5,1689,73.3,75.4,71.4,4.02,41,,,,,
Benin,0.05,6.11,2.16,77.2,7.1,14.29,2.95,0.8,36.8,2.9,1.1,55.7,56.6,54.9,0.31,6.3,81,69,51,60.2,<0.1,363.40,20.8,7.0,77.9,,207,28.0,38,42,69,518,24.8,6 385 123,64.0,66.4,61.7,5.44,,,52.6,73.1,,
Bhutan,0.97,20.52,5.53,6.1,4.9,3.98,1.77,0,,0.1,0.1,64.8,64.6,65.0,0.68,18.7,99,99,164,15.7,<0.1,0,15.9,4.4,23.1,97,88,12.7,60,64,99,47,12.2,173 578,74.9,75.9,73.9,5.66,87,,,,,
Bolivia (Plurinational State of),2.29,16.24,12.84,71.0,4.2,5.69,1.19,,50.3,0.1,0.4,57.4,58.8,56.3,2.41,12.4,72,67,105,14.3,0.16,2.51,19.9,3.6,23.1,50,76,12.2,65,46,68,146,17.6,189 894,65.4,68.4,62.9,1.26,67,,,,,23.1
Bosnia and Herzegovina,2.58,67.27,25.84,8.5,9.0,8.18,1.39,0.1,,0.6,1.9,65.0,66.1,63.9,1.38,36.2,100,73,24,1.9,<0.1,,17.2,6.3,6.0,63,115,4.5,66,No data,,6,13.7,0,74.8,77.2,72.6,7.54,5,,26.5,26.8,,
Botswana,0.36,30.18,3.79,48.1,8.4,4.32,1.01,0.3,,0.2,1.1,53.1,53.9,52.3,0.53,18.7,100,95,244,26.8,1.9,0.47,19.0,6.0,39.6,79,140,20.9,55,45,81,155,16.5,685 567,61.2,63.2,59.2,0.85,32,,,,,
Brazil,7.45,55.02,23.57,40.2,7.6,11.81,1.88,2.0,,0.0,0.1,61.8,63.4,60.3,4.14,12.2,98,90,49,6.6,0.24,3.81,14.5,9.4,14.4,64,28,7.6,≥80 ,65,74,67,15.7,3 102 066,72.4,75.8,69.0,0.15,73,,31.6,36.3,,
Brunei Darussalam,2.35,66.17,18.86,8.8,3.0,,,0.3,,0.1,0.0,67.1,67.9,66.3,2.1,16.4,100,99,65,1.7,No data,,14.9,0.7,9.4,99,20,4.9,78,71,,36,3.6,1,76.9,78.6,75.3,,83,,12.2,15.6,,
Bulgaria,11.23,42.04,43.28,36.8,9.5,21.28,3.07,1.5,,0.1,0.7,62.4,64.6,60.4,9.28,39.5,94,92,16,2.9,<0.1,,25.6,11.5,6.1,87,,2.6,73,74,87,6,8.4,119,71.3,75.0,68.0,,6,,,,,
Burkina Faso,0.06,9.49,1.48,92.9,8.5,8.37,1.76,1.2,64.3,1.7,1.6,54.6,55.6,53.5,0.39,14.3,96,94,43,60.9,<0.1,353.49,23.4,7.5,77.3,71,207,24.5,40,37,92,242,27.8,3 644 443,62.3,64.6,59.9,8.09,97,,30.4,91.7,,0
Burundi,0.01,7.94,0.78,58.2,7.7,4.77,0.88,0.7,39.6,1.4,2.3,55.8,56.9,54.8,0.09,11.2,75,89,94,53.3,0.12,245.06,24.8,4.5,49.2,80,209,19.6,41,35,88,392,12.3,3 205 933,64.0,65.9,62.0,6.45,,,,,,0
Cabo Verde,0.15,17.98,7.3,49.6,14.9,,,0.5,,0.3,0.3,63.8,66.1,61.3,0.19,11.0,97,93,47,12.1,0.52,0,17.2,3.8,11.6,86,92,8.3,71,60,,40,16.5,143 054,73.2,77.4,68.8,2.45,93,,,,,
Cambodia,0.31,10.08,2.11,48.0,4.5,17.86,4.92,0.1,59.5,0.2,0.4,60.6,62.0,59.3,0.46,17.2,99,85,335,17.1,<0.1,0.49,22.6,5.4,22.9,64,162,11.8,58,64,82,137,18.8,4 716 388,68.9,71.5,66.4,5.71,91,,81.3,73.5,,
Cameroon,0.12,6.59,1.36,98.0,8.5,,,2.4,44.9,1.8,1.1,54.0,54.6,53.4,0.22,6.5,69,75,150,47.3,No data,258.81,24.3,8.0,67.2,45,210,25.2,44,44,75,258,10.6,11 963 613,61.8,63.7,59.9,4.06,66,,76,96.3,,
Canada,6.53,112.57,28.19,4.5,9.4,3.5,0.8,0.0,,0.3,0.3,69.8,70.6,68.9,11.42,12.0,98,92,5.8,2.3,No data,,9.7,10.0,5.1,79,8,3.4,≥80 ,96,85,12,4.7,3,81.6,83.8,79.4,,86,,21,23.4,,
Central African Republic,0.01,10.97,0.74,184.4,9.2,,,8.0,27.6,3.8,1.4,45.4,47.3,43.8,0.03,,40,42,540,97,No data,305.54,30.8,2.1,92.2,,310,30.7,32,34,40,692,25.9,6 999 367,52.3,55.4,49.6,13.68,,,,,,
Chad,0.01,1.67,0.85,138.5,5.2,9.3,1.4,3.9,17.5,10.8,1.2,51.5,51.9,51.1,0.08,7.4,47,67,139,99.2,0.25,206.54,23.4,3.0,101.1,35,242,31.4,29,36,,748,26.4,8 461 599,59.1,60.7,57.5,5.38,,,,,,
Chile,16.77,54.54,33.34,6.3,7.7,14.6,2.08,0.1,,0.0,0.4,67.7,68.3,67.1,7.27,28.7,100,96,18,2.3,0.18,,9.4,7.9,7.2,70,18,4.6,≥80 ,79,93,10,10.3,7,79.0,81.4,76.7,0,83,,,,,36.4
China,4.51,36.66,31.12,6.1,8.9,24.33,6.94,,,0.2,1.5,68.6,70.1,67.2,3.73,23.4,100,97,52,2.2,No data,,15.9,4.5,6.2,95,93,2.8,≥80 ,94,,16,17.4,18 225,77.6,80.5,75.0,0.06,,,,,,
"China, Hong Kong SAR",,,,1.1,,,,0,,,,,,,,,,,50,,,,,,,,,,,,,,0.0,,,,,,,,45.8,30.1,,
