LOCATION,Pays_code_iso3,NUTOVERWEIGHTPREV,GHED_GGHE_DGGE_SHA2011,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,SDGPM25,SDGODAWS,WSH_WATER_SAFELY_MANAGED,PHE_HHAIR_PROP_POP_CLEAN_FUELS,SDGIPV12M,VIOLENCE_HOMICIDERATE,NUTRITION_WH_2,NUTSTUNTINGPREV,WSH_HYGIENE_BASIC,SDGIPVLT,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_SANITATION_SAFELY_MANAGED
Afghanistan,AFG,4.4,1.13,45.4,75.19,46.1,30,38.6,35,8.3,3.6,42.0,48,46,6.1,
Albania,ALB,16.7,9.19,24.7,16.58,43.7,71,86.1,6,3.4,1.6,7.4,,13,12.7,56
Algeria,DZA,13.3,5.36,31.6,22.85,0.3,71,99.7,,1.6,2.7,8.9,85,,76.2,62
Andorra,AND,,15.87,16.4,8.88,,91,100.0,,,,,,,100.0,100
Angola,AGO,4.7,6.7,43.8,32.32,17.4,,50.2,25,8.7,4.9,47.7,,38,,
Antigua and Barbuda,ATG,,13.99,20.3,8.42,,,100.0,,5.8,,,,,,
Argentina,ARG,14.3,15.22,23.5,11.23,57.9,,99.9,5,5.9,1.7,10.7,,27,23.6,
Armenia,ARM,12.9,6.5,18.7,36.24,23.4,82,98.8,5,4.1,4.4,6.2,94,10,0.6,11
Australia,AUS,26.4,20.22,11.1,9.12,,,100.0,3,0.9,,3.1,,23,95.8,96
Austria,AUT,,16.32,16.7,12.42,,99,100.0,4,0.5,,,,15,95.8,100
Azerbaijan,AZE,4.2,4.61,35.6,26.18,1.8,72,98.9,5,2.5,3.5,6.8,,14,37.4,
Bahamas,BHS,,15.77,18.8,5.20,,,100.0,,44.6,,,,,,
Bahrain,BHR,,8.64,38.4,51.84,,99,100.0,,0.3,,4.6,100,,94.1,92
Bangladesh,BGD,1.6,1.19,37.6,46.85,302.0,59,28.4,23,2.9,10.7,25.1,62,50,16.3,31
Barbados,BRB,13.0,8.74,20.1,9.83,,,100.0,,12.7,,5.8,,,,
Belarus,BLR,3.4,12.28,22.1,17.19,0.1,93,99.7,6,2.2,1.3,1.1,,21,83.3,75
Belgium,BEL,4.9,15.19,15.0,11.57,,100,100.0,5,1.2,0.8,2.6,,22,85.4,95
Belize,BLZ,5.6,11.48,21.3,10.44,0.3,,82.9,8,38.3,1.8,11.7,90,24,,
Benin,BEN,3.7,2.6,50.0,31.78,66.4,,6.0,15,5.8,8.3,33.2,12,26,6.7,3
Bhutan,BTN,8.0,6.69,33.8,16.91,17.2,73,91.6,9,3.0,5.1,17.9,93,22,48.8,51
Bolivia (Plurinational State of),,9.9,16.35,24.9,26.89,169.8,,90.6,18,10.7,2.0,10.7,27,42,,
Bosnia and Herzegovina,BIH,13.0,14.79,26.0,29.67,21.9,87,39.5,3,1.4,,7.9,,12,65.3,
Botswana,BWA,11.5,14.62,30.9,14.42,0.1,,66.4,17,15.4,,21.0,,34,,
Brazil,BRA,10.9,9,21.3,11.26,152.8,87,96.5,6,32.3,3.4,8.9,,23,,50
Brunei Darussalam,BRN,9.5,6.36,18.3,6.76,,,100.0,,0.8,,9.9,,,,
Bulgaria,BGR,5.5,11.59,25.8,18.56,,96,0.0,6,1.1,,5.5,,19,74.6,73
Burkina Faso,BFA,2.8,8.4,44.3,46.04,68.1,,17.0,11,9.3,9.3,19.5,9,19,2.1,10
Burundi,BDI,2.4,4.73,39.0,28.38,57.6,,0.1,22,6.5,7.8,55.3,6,40,,
Cabo Verde,CPV,8.4,16.06,40.6,32.63,12.5,,83.9,11,13.9,2.4,5.3,,19,,
Cambodia,KHM,5.7,6.99,38.0,18.35,208.1,29,58.0,9,1.8,9.6,22.0,83,19,,37
Cameroon,CMR,13.6,3.94,38.9,61.63,52.7,,30.7,22,6.0,4.3,27.2,37,39,,
Canada,CAN,11.4,19.5,14.0,6.70,,99,100.0,3,1.6,,,,,68.3,84
Central African Republic,CAF,2.3,9.03,43.4,32.17,5.9,6,1.0,21,18.1,5.2,38.9,22,29,,13
Chad,TCD,2.5,7.26,46.5,54.01,34.9,6,9.7,16,8.5,7.8,31.5,26,29,2.3,11
Chile,CHL,8.7,18.95,15.7,22.16,,99,100.0,6,3.8,,1.7,,21,87.9,95
China,CHN,11.1,8.8,15.6,40.17,40.3,,88.7,8,0.7,1.9,4.5,97,19,64.0,67
"China, Hong Kong SAR",,,,,,,,,,,,,,,93.2,
"China, Macao SAR",,,,,,,,,,,,,,,85.2,
Colombia,COL,6.8,15.72,22.4,15.09,49.9,74,91.8,12,35.7,1.6,11.6,70,30,17.2,18
Comoros,COM,3.9,4.74,29.9,14.49,5.1,,10.4,8,7.6,5.1,17.4,,16,,
Congo,COG,5.3,3.53,46.7,37.81,19.5,,40.1,,9.3,,16.3,,,,
Cook Islands,COK,,11.94,23.9,7.87,,,74.7,14,,,,,33,,
Costa Rica,CRI,7.9,25.82,13.7,15.06,2.7,81,96.6,7,13.5,1.8,10.6,86,27,24.1,25
Côte d'Ivoire,CIV,3.5,6.21,51.4,46.58,13.0,44,44.1,16,11.0,8.1,20.3,22,27,18.5,17
Croatia,HRV,,13.73,23.3,15.49,,,100.0,4,0.8,,,,13,34.3,
Cuba,CUB,10.6,21.04,22.2,15.86,9.1,,94.9,5,5.0,2.0,7.3,93,14,32.6,41
Cyprus,CYP,,18.31,16.4,15.46,,100,100.0,3,1.4,,,,16,72.7,77
Czechia,CZE,6.6,16.73,24.6,14.90,,98,100.0,4,0.6,,2.4,,22,91.5,90
