Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,27458.2253310273,27441.5296617282,28440.051963759,30082.1276448186,31096.2050738676,22855.9323200761,27200.0610793969,30559.5335346581,33984.7906198041,
,AFE,1479.61525980543,1329.80728479234,1520.21223076132,1538.90167917284,1493.81793829992,1344.10320999294,1522.3933455926,1628.31894446307,1510.74295082335,1567.63583892828
Afghanistan,AFG,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,
,AFW,1860.72769393488,1630.03944681121,1574.23056047232,1720.14027955102,1798.34068458315,1680.03933212698,1765.9547879785,1796.66863273368,1599.39298291654,1284.15444092323
Angola,AGO,3213.90261080059,1807.95294072643,2437.25971190821,2538.59139143371,2189.85571407618,1449.92286669308,1925.87466082167,2929.69445467272,2309.53413042773,2122.08368991872
Albanie,ALB,3981.72662261867,4168.37544462548,4614.0479692596,5365.48880180298,5460.4305086932,5370.77749956875,6413.28280828537,6846.42669381643,8575.17134637222,10011.6279856667
Andorre,AND,38654.9347203095,40129.8192007698,40672.9943348258,42819.7745797624,41257.8045846483,37361.0900666982,42425.6996756291,42414.0590092117,46812.4484486309,49303.6733899464
Le monde arabe,ARB,6262.04168490023,6012.51244365971,6066.72679100575,6668.2167280195,6638.48541455372,5722.48099531674,6681.70895180141,7931.61789279006,7479.68809103279,7521.15330929761
Émirats arabes unis,ARE,43534.9972694631,41326.4018161569,42340.5917160161,45689.8570049401,44251.4541398817,37173.8754093066,43360.0211001327,49899.0652975197,49040.6947521035,49377.5643384379
Argentine,ARG,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13935.6811110049,14187.4827252965,13858.2039802008
Arménie,ARM,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8125.27395754003,8500.60522486719
Samoa américaines,ASM,12727.4102651386,12843.3342903627,11863.6839452565,12552.0546868861,12886.1359517218,14489.2586563775,15236.1604875571,18017.4589383973,,
Antigua-et-Barbuda,ATG,16077.6340769406,16556.8551801588,16965.7288273816,18273.4270684912,18896.3721832248,15369.6082250401,17348.6006987182,20105.1989085164,21494.5474000727,23725.7903725506
Australie,AUS,56739.0265346593,49888.0410842736,53901.7145392154,57196.4220783778,54972.7017885437,51791.540179984,60607.7788605166,64997.0136536475,64835.9199754535,64407.484256932
Autriche,AUT,43915.228020857,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349,53648.7190742245,52176.6649141178,56033.573792065,56833.1960472053
Azerbaïdjan,AZE,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328,7283.83562954872
Burundi,BDI,280.966831311923,235.286205393908,236.694472592753,224.89939239264,210.236494521532,210.008139902508,214.091455416133,250.634225368744,192.074305359351,153.930217854023
Belgique,BEL,40893.804537772,41854.5498296444,44035.3239358548,47487.2100392561,46716.6227467964,45906.2875805246,51658.238294958,50822.2518538518,54690.0942734964,55954.6106261018
Bénin,BEN,1002.41886879614,1010.5338961993,1054.97408066814,1151.7409703472,1130.82135339795,1200.19426631122,1318.65158107487,1266.42710981159,1394.17784663045,1485.38018980894
Burkina Faso,BFA,630.124750752312,663.742364842886,709.091535894695,777.465618514048,764.853077774946,825.237038782475,895.535288442991,836.118304593682,882.689810086163,987.321378101867
Bangladesh,BGD,1224.38647668165,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307,2593.41607390407
Bulgarie,BGR,7268.65445473873,7822.49923292968,8696.68930427924,9872.38507789106,10372.8044341114,10769.9475699414,12972.2173356002,13999.6719197289,15883.8618545581,17412.4115085691
Bahreïn,BHR,23734.0551143019,23800.001440631,24784.7693514607,26324.4066549559,27259.7438599327,24342.8444554718,27147.8083882286,30470.5219276023,29290.1284215098,30048.2177718844
Bahamas,BHS,30719.405417469,30616.5363157284,31875.4881749619,32642.3353203452,33640.3369861278,26178.7537607708,30367.8605757708,34957.1613279737,38231.774484278,39455.4466548546
Bosnie-Herzégovine,BIH,4662.25883724069,4928.5665251728,5345.01985489192,6047.84584261133,6122.3753450882,6130.31133245161,7295.3438240957,7655.59421024383,8663.02322987879,8957.37294188215
Bélarus,BLR,5967.05595058777,5039.77560949445,5785.54491935194,6360.037502312,6837.77339645635,6542.85579976768,7489.71894713888,7994.64806074889,7896.75388295584,8316.64776291533
Belize,BLZ,6154.49593498217,6142.49873185177,6072.58267640581,6031.28139580144,6190.04792278445,5227.19363786168,6122.61158580079,7068.45478269722,7459.99815132837,8429.67959707387
Bermudes,BMU,104855.366822135,108747.356144305,112339.425587467,113204.82210838,115798.040775578,106976.546239632,112765.08167306,121613.939983629,132604.439086216,138934.958846463
Bolivie,BOL,2996.01289811344,3035.87347732132,3306.30301224425,3500.72642189887,3503.89601123129,3099.94219053514,3384.84486462654,3643.92826984604,3686.27996442176,4001.21133990795
Brésil,BRA,8936.19661712113,8836.28652735657,10080.5092819305,9300.66164923219,9029.83326681073,7074.19378337644,7972.5366498646,9281.33334441234,10377.5892792557,10280.3148624429
Barbade,BRB,18954.2913724506,19065.8069800213,19692.7606711615,20055.915870771,20583.7265786414,18347.1109131055,18696.7858952957,22164.0260273876,23804.0249914995,25365.7949424181
Brunéi Darussalam,BRN,30625.128732694,26663.2973199878,28024.3824618568,30988.1190497851,30426.5730284202,26834.3592463839,31006.9636220576,36632.9280421411,32890.5492465722,33417.8357740437
Bhoutan,BTN,2954.04081911097,3152.30905106786,3435.28804735662,3400.20417245342,3576.87987100503,3191.66906999331,3570.61257980872,3711.32767981591,3839.4093039286,
Botswana,BWA,6141.20394726616,6749.05994339013,7104.96401088027,7407.95940141786,7172.08956480028,6323.29749806946,7807.88794500125,8328.70905682185,7826.35376483298,7695.2420641819
République centrafricaine,CAF,366.322853938121,387.176203444318,432.324025684263,455.243962859534,449.228467602439,462.879071294011,492.263142830507,467.359825026238,495.978897288721,516.170424537757
Canada,CAN,43594.1941045394,42314.0615817218,45129.628116623,46539.1761570405,46352.8693445211,43537.839298904,52886.6616372703,56256.8007264015,54220.3285039875,54282.6176051733
Europe centrale et les pays baltes,CEB,12596.9475064791,12874.7406922285,14339.8580613846,16245.193864543,16551.8488917344,16595.9352698049,19239.8185020397,19548.6930479638,22699.5351734821,24543.3040551653
Suisse,CHE,83806.4476003837,82153.0745447889,82254.3770471336,85217.3691512274,84121.9310304414,85897.7843338323,93664.7736696111,94394.5106803525,100631.802755125,103669.872008144
Îles Anglo-Normandes,CHI,61852.0735568957,55950.1482938989,55806.5708942966,60783.3529257544,60568.108347955,56785.9402005039,66912.1753241171,67627.3084478235,74589.1381155014,
Chili,CHL,13433.9202987032,13649.8520452803,14879.9086227187,15659.4808675628,14495.716721687,13114.815470545,16206.8325493421,15405.6165774073,17067.0364799154,16709.8893972307
Chine,CHN,8175.33285077393,8254.86859320357,8979.67652709856,10085.6638148819,10342.9009524335,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043,13303.1481543868
Côte d'Ivoire,CIV,1814.71855088017,1862.59597081287,1964.29930338343,2130.86619381144,2141.76836170115,2179.72934832935,2455.98127626488,2333.37128334477,2554.67304885576,2709.89511641252
Cameroun,CMR,1415.00009710569,1441.7201725688,1496.08951771242,1610.69641591017,1555.22660476477,1555.60370660749,1672.32657340872,1604.87726954895,1736.86091073524,1762.3683508844
"Congo, République démocratique du",COD,467.9145805459,442.310472110228,436.584534687385,528.256019777898,557.044161335917,507.521230077872,558.034077296358,642.612267148918,633.395661686298,647.435704836002
"Congo, République du",COG,2439.35189403696,2093.10728558843,2211.63309874797,2694.43413191427,2488.42466724916,1993.586671931,2516.16255145432,2620.83804304713,2477.97845477092,2482.24894743495
Colombie,COL,6248.51490534512,5959.84250367574,6479.53231292429,6816.96818309544,6472.54544924705,5339.68711357943,6222.62164397614,6680.44506854481,7000.83660501046,7913.98801464547
Comores,COM,1329.3704808998,1365.48403353158,1423.92480215551,1540.71132331975,1519.26386326167,1527.16990927956,1587.72988601478,1533.87755332151,1682.20285095721,1784.11546860293
Cabo Verde,CPV,3415.06266730931,3608.96605234906,3893.09571382506,4294.96510035729,4380.78117331128,3539.22661248299,3971.44409203423,4323.31362032709,4861.29184126229,5272.85253011419
Costa Rica,CRI,11714.7105980803,12091.0301606335,12317.0902771322,12590.2493781628,12884.6859951947,12394.0493969354,12838.1185359009,13625.9008491478,16942.0268119304,18587.1532203614
Petits états des Caraïbes,CSS,14402.4725779389,13297.7443496162,13637.1207205804,13815.3265154798,13938.2023201976,11925.7573950011,13833.3099303464,17355.8366579795,17582.2636796878,20173.9564746676
Cuba,CUB,7727.91997207998,8110.55873961397,8610.60829531998,8911.46205964193,9232.26115935183,9605.26125067263,,,,
Curacao,CUW,19361.8130008678,18944.0961493998,18938.2440469703,19119.1243941688,19220.6865793075,16356.0933254541,17979.9982909306,20501.7522782219,21061.741639092,
Îles Caïmans,CYM,76379.2095108681,77802.2541567187,80053.9444506891,83865.5531568184,88254.2903677044,82338.7982853661,86438.445257404,92202.1478031576,97749.5078960846,
Chypre,CYP,23487.228515625,24715.154296875,26696.990234375,29599.986328125,29703.052734375,28649.015625,33734.03515625,33894.44921875,36551.41796875,38654.16796875
République tchèque,CZE,17931.5987670768,18753.9686718096,20913.197632212,23705.9329811299,24062.7190013343,23472.8915454417,27696.4619527544,28282.2236715857,31591.0568216357,31706.6234229743
Allemagne,DEU,41911.0109851054,42961.0356905775,45526.5999576533,48874.8595028454,47623.8656074829,47379.765194548,52265.6541620571,49686.1154582583,53940.4073447462,55800.2194549412
Djibouti,DJI,2376.12554719873,2510.4300076241,2618.95521147369,2718.08338799203,2837.16902340932,2844.88810647853,3025.91126413549,3133.25779772463,3397.52015779588,3496.47111876763
Dominique,DMA,8282.59874702141,8802.56172041363,8224.64896571414,9215.3085405645,9491.14995962374,7827.74842680426,8376.40414141113,9323.66089490562,9912.96212766668,10405.2787777582
Danemark,DNK,53094.0133607574,54500.9260410217,57521.5514992225,61324.7665045565,59404.2663247723,60985.4885601514,69727.9873677012,68091.3191138669,68453.8769281145,71851.7562131368
République dominicaine,DOM,6800.95309395474,7160.44200982307,7412.71571571512,7882.98221584944,8183.01623600375,7135.22273255899,8527.0754858205,10104.2449349081,10630.431743829,10875.6618443092
Algérie,DZA,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4961.55257664733,5364.02795022731,5631.17999109851
Asie de l’Est et Pacifique (hors revenu élevé),EAP,6589.77384002779,6683.18386893998,7241.92533795167,8045.94448809301,8286.43967532333,8391.36838432689,9974.63640001599,10106.8725194012,10125.7668065643,10396.8255168912
de dividende précoce démographique,EAR,3219.68827173818,3269.98432817621,3505.10621501561,3515.76621670583,3543.32390703605,3250.74974734387,3765.51079786712,4113.00084852322,4313.64804240795,4510.25268168449
Asie de l’Est et Pacifique,EAS,9657.52889618953,9928.67149927477,10526.6771695761,11394.4809001741,11578.2748298091,11595.2940923559,13282.7636699758,13084.2848090909,13117.90954458,13349.0833109152
Europe et Asie centrale (hors revenu élevé),ECA,6282.95418433325,5977.68550933388,6112.70276991575,5952.2500299061,6020.63670154835,5733.41761868436,6623.35137698536,7247.60981221236,8571.4101866164,9668.56270854153
Europe et Asie centrale,ECS,22676.9494565466,22496.7758500912,23780.6167949133,25362.6758114579,24975.4166431436,24121.4791035767,27591.4108786977,27782.8616206223,29835.7180523654,31392.581963732
