measure,LOCATION,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Depressive disorders,Rate,2021,451.2734239715069,646.6211369168794,303.62954216132647
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Bipolar disorder,Rate,2021,68.4941292258262,100.83879340821522,40.900968246565434
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Anxiety disorders,Rate,2021,267.12985029944514,386.4025528642656,178.5137383515796
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Eating disorders,Rate,2021,35.60785115652402,52.057060505001544,20.507045066136612
DALYs (Disability-Adjusted Life Years),Mongolia,Both,Age-standardized,Mental disorders,Rate,2021,1719.9149350122966,2285.1259555017305,1212.6737367912963
DALYs (Disability-Adjusted Life Years),Mongolia,Both,Age-standardized,Schizophrenia,Rate,2021,185.1277718785846,240.36651869829245,127.55322200665104
DALYs (Disability-Adjusted Life Years),Mongolia,Both,Age-standardized,Depressive disorders,Rate,2021,559.1608701615626,818.0871266460888,363.13180655870144
DALYs (Disability-Adjusted Life Years),Republic of Moldova,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,52.93769211984882,98.79773449086838,25.37402988195066
DALYs (Disability-Adjusted Life Years),Republic of Moldova,Both,Age-standardized,Other mental disorders,Rate,2021,110.81310717255214,158.49749328527176,72.4619952432033
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Depressive disorders,Rate,2021,926.7401712514696,1338.9779672451534,636.1894797140501
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Bipolar disorder,Rate,2021,134.75792586930723,196.2163504834767,80.60756497138796
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Anxiety disorders,Rate,2021,637.8995459736922,944.0905940668252,401.550716139118
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Eating disorders,Rate,2021,97.46822599729698,147.55952441262156,56.506664754991064
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Autism spectrum disorders,Rate,2021,142.02168468613255,224.511428192372,84.32178890611115
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,59.53419201976535,89.53592379058377,36.25424958104403
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Conduct disorder,Rate,2021,73.07603139678882,113.83850931625282,41.481862922669265
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,26.68376233179052,53.01095057831187,10.9727590661017
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Other mental disorders,Rate,2021,120.89116537580458,171.2187327645847,77.80315405389986
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Schizophrenia,Rate,2021,206.8621885557331,264.3312833436168,146.92678274004373
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Depressive disorders,Rate,2021,428.18548078525816,615.5480475901795,282.39537697655226
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Bipolar disorder,Rate,2021,68.18811381760422,98.99603458105254,40.55466596187794
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Anxiety disorders,Rate,2021,236.82602945632743,344.95489280452665,155.6498528817305
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Eating disorders,Rate,2021,31.17802073127243,47.40705840575097,17.72677053010061
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Autism spectrum disorders,Rate,2021,111.67628081509443,167.19722225325876,69.70041934058055
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,12.360623779131892,18.806347569818804,7.281632149817264
DALYs (Disability-Adjusted Life Years),Andorra,Both,Age-standardized,Autism spectrum disorders,Rate,2021,181.29169843613474,305.52208571506736,98.22883442760042
DALYs (Disability-Adjusted Life Years),Andorra,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,49.797228410166696,74.9840842432476,28.954288568718592
DALYs (Disability-Adjusted Life Years),Andorra,Both,Age-standardized,Conduct disorder,Rate,2021,73.093433287895,114.21713894623812,40.94448371002034
DALYs (Disability-Adjusted Life Years),Andorra,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,24.569985401784542,50.61914788511239,9.664305961510285
DALYs (Disability-Adjusted Life Years),Andorra,Both,Age-standardized,Other mental disorders,Rate,2021,121.78506270496972,169.4221917372525,76.8932396915628
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Autism spectrum disorders,Rate,2021,123.67050184306972,209.34745695835875,66.75430819438701
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,27.05328421084472,40.85253318426842,15.558296114641786
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Conduct disorder,Rate,2021,52.18396068015931,80.84345909863805,28.361953873264707
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,35.65272363779047,65.03588620362794,16.45590642536384
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Other mental disorders,Rate,2021,118.20499503860133,169.12512653147303,76.72654811227771
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Schizophrenia,Rate,2021,201.74203639086514,258.82823054089863,143.26361590493315
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Depressive disorders,Rate,2021,554.5857221836832,829.2266410276649,336.5271754064942
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Bipolar disorder,Rate,2021,80.60181304647271,117.90083303370625,48.429585280718555
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Anxiety disorders,Rate,2021,496.7489799683888,765.6693213955122,297.416949891601
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Eating disorders,Rate,2021,30.33401725309442,45.398037153568424,17.80033587403697
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Autism spectrum disorders,Rate,2021,121.44094729777056,232.5387177527932,59.114852525063284
DALYs (Disability-Adjusted Life Years),Cuba,Both,Age-standardized,Mental disorders,Rate,2021,2338.2235520074673,3090.287569788802,1673.2668215854626
DALYs (Disability-Adjusted Life Years),Cuba,Both,Age-standardized,Schizophrenia,Rate,2021,211.789049199593,274.6736049459545,146.65960249283268
DALYs (Disability-Adjusted Life Years),Cuba,Both,Age-standardized,Depressive disorders,Rate,2021,672.3022926918404,968.6820582605742,445.74497964519423
DALYs (Disability-Adjusted Life Years),Cuba,Both,Age-standardized,Bipolar disorder,Rate,2021,157.73821754212716,226.76833845706466,93.905768677391
DALYs (Disability-Adjusted Life Years),Cuba,Both,Age-standardized,Anxiety disorders,Rate,2021,808.4928157776789,1180.6817153719726,533.1439432596051
DALYs (Disability-Adjusted Life Years),Cuba,Both,Age-standardized,Eating disorders,Rate,2021,66.06390424221418,100.26499227195006,36.34609469884269
DALYs (Disability-Adjusted Life Years),Sao Tome and Principe,Both,Age-standardized,Conduct disorder,Rate,2021,69.48106590829408,109.72813618378373,38.57509895730142
DALYs (Disability-Adjusted Life Years),Sao Tome and Principe,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,11.709089060769527,29.503296867005137,2.3691819603021838
DALYs (Disability-Adjusted Life Years),Sao Tome and Principe,Both,Age-standardized,Other mental disorders,Rate,2021,111.92274607202629,160.87554855083087,74.17578481667698
DALYs (Disability-Adjusted Life Years),United Arab Emirates,Both,Age-standardized,Bipolar disorder,Rate,2021,140.43992764781822,203.59219711731663,82.89516624924936
DALYs (Disability-Adjusted Life Years),United Arab Emirates,Both,Age-standardized,Anxiety disorders,Rate,2021,478.514238867815,692.6130951858031,311.69082469042297
DALYs (Disability-Adjusted Life Years),United Arab Emirates,Both,Age-standardized,Eating disorders,Rate,2021,79.1919885936205,120.5737264666122,45.80611536661421
DALYs (Disability-Adjusted Life Years),United Arab Emirates,Both,Age-standardized,Autism spectrum disorders,Rate,2021,123.90110786824171,203.23204314372512,67.40230781278473
DALYs (Disability-Adjusted Life Years),United Arab Emirates,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,17.74381405972257,26.558695889652757,9.903104776323536
DALYs (Disability-Adjusted Life Years),United Arab Emirates,Both,Age-standardized,Conduct disorder,Rate,2021,55.98310434156466,91.34604979265806,31.406716695054467
DALYs (Disability-Adjusted Life Years),United Arab Emirates,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,32.71309913203526,62.503632130576044,14.902403050758865
DALYs (Disability-Adjusted Life Years),United Arab Emirates,Both,Age-standardized,Other mental disorders,Rate,2021,121.72837809701593,172.1788684557072,80.28806807000431
DALYs (Disability-Adjusted Life Years),Cabo Verde,Both,Age-standardized,Mental disorders,Rate,2021,2086.137707167547,2797.6289455257206,1505.9024767089281
DALYs (Disability-Adjusted Life Years),Cabo Verde,Both,Age-standardized,Schizophrenia,Rate,2021,196.64438122547412,258.88364681464543,138.65351672884069
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Mental disorders,Rate,2021,2050.637728893783,2691.189157963469,1517.5359571149427
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Schizophrenia,Rate,2021,267.8666425760269,331.2961290617362,196.43245855990656
DALYs (Disability-Adjusted Life Years),Poland,Both,Age-standardized,Mental disorders,Rate,2021,1653.5083099981762,2132.1405242689307,1205.1888312693472
DALYs (Disability-Adjusted Life Years),Poland,Both,Age-standardized,Schizophrenia,Rate,2021,192.91235030115038,241.08409377324477,141.4815824126901
DALYs (Disability-Adjusted Life Years),Poland,Both,Age-standardized,Depressive disorders,Rate,2021,448.5241640107943,629.9308502634893,314.0714644522848
