LOCATION,Pays_code_iso3,Surpoids enfants <5 ans,Dépenses publiques santé,Retard croissance enfants
Afghanistan,AFG,4.4,1.13,42.0
Albania,ALB,16.7,9.19,7.4
Algeria,DZA,13.3,5.36,8.9
Andorra,AND,,15.87,
Angola,AGO,4.7,6.7,47.7
Antigua and Barbuda,ATG,,13.99,
Argentina,ARG,14.3,15.22,10.7
Armenia,ARM,12.9,6.5,6.2
Australia,AUS,26.4,20.22,3.1
Austria,AUT,,16.32,
Azerbaijan,AZE,4.2,4.61,6.8
Bahamas,BHS,,15.77,
Bahrain,BHR,,8.64,4.6
Bangladesh,BGD,1.6,1.19,25.1
Barbados,BRB,13.0,8.74,5.8
Belarus,BLR,3.4,12.28,1.1
Belgium,BEL,4.9,15.19,2.6
Belize,BLZ,5.6,11.48,11.7
Benin,BEN,3.7,2.6,33.2
Bhutan,BTN,8.0,6.69,17.9
Bolivia,BOL,9.9,16.35,10.7
Bosnia and Herzegovina,BIH,13.0,14.79,7.9
Botswana,BWA,11.5,14.62,21.0
Brazil,BRA,10.9,9.0,8.9
Brunei Darussalam,BRN,9.5,6.36,9.9
Bulgaria,BGR,5.5,11.59,5.5
Burkina Faso,BFA,2.8,8.4,19.5
Burundi,BDI,2.4,4.73,55.3
Cabo Verde,CPV,8.4,16.06,5.3
Cambodia,KHM,5.7,6.99,22.0
Cameroon,CMR,13.6,3.94,27.2
Canada,CAN,11.4,19.5,
Central African Republic,CAF,2.3,9.03,38.9
Chad,TCD,2.5,7.26,31.5
Chile,CHL,8.7,18.95,1.7
China,CHN,11.1,8.8,4.5
Hong Kong,HKG,,,
Macao,MAC,,,
Colombia,COL,6.8,15.72,11.6
Comoros,COM,3.9,4.74,17.4
Congo,COG,5.3,3.53,16.3
Cook Islands,COK,,11.94,
Costa Rica,CRI,7.9,25.82,10.6
Côte d'Ivoire,CIV,3.5,6.21,20.3
Croatia,HRV,,13.73,
Cuba,CUB,10.6,21.04,7.3
Cyprus,CYP,,18.31,
Czechia,CZE,6.6,16.73,2.4
Democratic People's Republic of Korea,PRK,3.3,,16.6
Democratic Republic of the Congo,COD,4.2,3.98,44.1
Denmark,DNK,,17.69,
Djibouti,DJI,5.5,5.15,20.9
Dominica,DMA,,6.2,
Dominican Republic,DOM,7.5,14.43,5.6
Ecuador,ECU,4.7,11.87,17.7
Egypt,EGY,11.2,7.22,12.9
El Salvador,SLV,8.5,21.22,9.4
Equatorial Guinea,GNQ,7.5,4.45,17.1
Eritrea,ERI,2.8,2.37,48.0
Estonia,EST,5.6,13.2,1.3
Eswatini,SWZ,10.2,11.35,18.9
Ethiopia,ETH,3.3,5.68,35.5
Fiji,FJI,7.3,10.33,7.2
Finland,FIN,4.7,14.82,1.7
France,FRA,,15.25,
Gabon,GAB,6.1,9.59,13.7
Gambia,GMB,2.7,7.48,14.0
Georgia,GEO,4.1,10.54,4.7
Germany,DEU,3.3,20.46,2.2
Ghana,GHA,1.8,7.41,15.6
Greece,GRC,13.5,8.65,2.0
Grenada,GRD,,6.28,
