LOCATION,Pays_code_iso3,Surpoids enfants <5 ans,Dépenses publiques santé,Retard croissance enfants,Espérance de vie totale,Taux mortalité brute,Médecins pour 10k habitants,Taux de suicides,Mortalité Maternelle à la naissance,Eating_disorders,Mental_disorders,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,4.4,1.13,42.0,59.1,34.3,0.06,3.6,521.0,29.884592444815528,2244.603665049283,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,
Albania,ALB,16.7,9.19,7.4,76.4,6.9,10.27,2.8,7.0,41.508016270032485,1747.731707311731,4199.53912925398,4457.63412207495,5006.36012951959,5897.65452588774,6069.43903131027,6027.91350716348,7242.45513146613,7756.96188744253,9730.86921906893,11377.7757431099
Algeria,DZA,13.3,5.36,8.9,76.0,15.3,3.57,2.2,62.0,55.204026036144114,2136.247787145752,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4960.30334332888,5370.477235078,5752.99076651465
Andorra,AND,,15.87,,,1.3,12.11,,11.0,108.61087372768358,2595.9571105269724,38654.95287916,40129.8385811474,40672.9717424447,42819.7577456133,41257.816459345,37361.1070081615,42425.7066454357,42414.0479861228,46812.4261013102,49303.6491674336
Angola,AGO,4.7,6.7,47.7,62.1,25.6,0.07,8.1,183.0,35.08583501807188,2538.96186827233,3641.72893919944,2051.81462126253,2790.71886869768,2860.0936483682,2493.67884440177,1759.35619918264,2303.90812662776,3682.1131513698,2916.13663284275,2665.87444776753
Antigua and Barbuda,ATG,,13.99,,76.9,5.4,,1.5,35.0,91.49730542503411,2260.5458036329023,16077.6340769406,16556.8551801588,16965.7288273816,18273.4270684912,18896.3721832248,15369.6082250401,17348.6006987182,20105.1989085164,21494.5474000727,23542.4526945578
Argentina,ARG,14.3,15.22,10.7,74.6,5.0,10.86,7.9,33.0,77.21390525766591,2566.0187581285577,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13962.1894087223,14261.8465667948,13969.7836603737
Armenia,ARM,12.9,6.5,6.2,73.0,5.3,3.59,2.5,19.0,40.4359907516152,2087.791575570267,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8159.08720967996,8556.21406956719
Australia,AUS,26.4,20.22,3.1,83.1,2.3,6.41,13.1,2.0,214.8021250103096,3087.5629604042056,56970.3613028094,50084.4440606385,54117.547718609,57410.1737346009,55194.7585097428,51983.4523666382,60758.9044397144,65169.5191118657,65058.3773146674,64603.9856308464
Austria,AUT,,16.32,,81.0,2.0,6.19,14.5,6.0,116.5957344834358,2153.156884562138,43915.228020857,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349,53648.6437976214,52336.7725223758,56579.504175468,58268.8787651601
Azerbaijan,AZE,4.2,4.61,6.8,72.9,12.8,3.38,1.6,18.0,44.33927513548251,1774.048921058984,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328,7283.8499076179
Bahamas,BHS,,15.77,,70.4,9.2,2.54,3.3,76.0,101.0190516740056,2354.601414110397,30719.405417469,30616.5363157284,31875.4881749619,32642.3353203452,33640.3369861278,26178.7537607708,30367.8605757708,34957.1613279737,38231.774484278,39455.4466548546
Bahrain,BHR,,8.64,4.6,74.4,4.4,0.8,4.7,17.0,73.08921807982405,2160.2844061723204,23734.0551143019,23800.001440631,24784.7693514607,26324.4066549559,27259.7438599327,24342.8444554718,27147.8083882286,30470.5219276023,29290.1284215098,29653.5682731534
