location,Anxiety_disorders,Attention_deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bipolar_disorder,Conduct_disorder,Depressive_disorders,Eating_disorders,Idiopathic_developmental_intellectual_disability,Mental_disorders,Other_mental_disorders,Schizophrenia
Afghanistan,622.1022620058264,46.3418334668832,112.2744105004885,131.84588637953732,53.24674349757952,928.5238710089824,29.884592444815528,39.65549047580178,2244.603665049283,106.81307466373822,173.91550060562986
Albania,622.0556013878208,24.743526137320384,122.88937398302308,100.82938930099829,68.8461472592509,403.28854747050514,41.508016270032485,56.86705135299412,1747.731707311731,112.04155424000156,194.6624999097836
Algeria,509.06606816969406,46.71067355845408,140.16306066867995,140.24118441343532,53.71783867785976,841.6996910777323,55.204026036144114,29.993712368210225,2136.247787145752,111.396713041715,208.05481913382775
American Samoa,497.37284716561095,37.58513832945191,114.126515958002,80.2913094574938,57.87847184969103,579.688601395685,37.54842752398322,27.106891920117505,1747.0012944473572,111.921925337166,203.4811655101553
Andorra,991.2001498135196,49.797228410166696,181.29169843613477,134.64906850614267,73.093433287895,731.0150109116332,108.61087372768358,24.569985401784542,2595.9571105269724,121.78506270496972,179.9445993270411
Angola,801.8046998420009,42.53426335316436,127.07789020875414,96.88213598001524,70.65481633260814,1065.561231123001,35.08583501807188,11.487014270029318,2538.96186827233,109.14943085047128,178.7245512942138
Antigua and Barbuda,732.9982109515195,106.54640624178916,112.7197366745023,156.79734552152547,69.47228439424144,649.4661769649575,91.49730542503411,21.93326033690534,2260.5458036329023,110.59303985968786,208.5220372627399
Argentina,925.7783281737986,41.00797514297696,182.05013277494024,169.5593072210448,69.88902691621198,790.1783417887399,77.21390525766591,27.5495510726609,2566.0187581285577,119.41701471207854,163.37517506843815
Armenia,722.8038165540668,24.7086133096313,112.56078180760352,104.0945900669264,69.19724009885425,646.4643772649438,40.4359907516152,57.76593610928848,2087.791575570267,110.13924054080496,199.620989066532
Australia,1190.162442448517,97.32691347755096,192.8168475738564,147.47770745532273,75.88402401211957,754.1126458883195,214.8021250103096,64.22398021371603,3087.5629604042056,139.2523312435522,211.50394308094096
Austria,808.1204836413773,64.47904635006799,161.3870233576856,133.98734904766465,70.71401445045919,477.543718765279,116.5957344834358,24.343107743318917,2153.156884562138,120.44028499332116,175.54612172953037
Azerbaijan,412.0838593754158,24.834122441472022,112.59164639705187,103.72050884507937,69.62753119049738,639.7538588426568,44.33927513548251,61.294036129139165,1774.048921058984,111.05661007981172,194.74747262237625
Bahamas,756.6702492146152,105.70552382154828,113.6877675436741,153.6911445067261,68.90151069623283,726.2285029253032,101.0190516740056,22.080491393871885,2354.601414110397,110.0216194564342,196.5955528779849
Bahrain,571.9145302438068,50.7761098582793,139.69256060731448,139.11578247778417,54.57714843448783,762.0998260473032,73.08921807982405,32.44648709698492,2160.2844061723204,117.687482003702,218.8852613228332
Bangladesh,472.7636290736762,24.09272020242544,62.90993790226051,76.28506466571639,54.59973204695503,952.5014283367666,37.30832414374637,41.97011435020651,2077.2647948449485,111.11768911373017,243.7161550094626
Barbados,731.597866302507,106.74523520067146,116.24061202141988,156.72346330038388,69.57867477238506,646.7341469004145,81.60027061920746,19.96590697974968,2249.3057868557494,110.85804863951864,209.261562119491
Belarus,423.283959461216,24.66633189378881,137.1637818182369,103.08878137962826,68.95209886736302,583.7084950929939,46.87061298455601,51.323453543913566,1694.507324360186,109.91596196191962,145.5338473565711
Belgium,818.4313007807399,49.41905901848271,155.8941294750595,133.13312290832377,73.15828874459702,722.2657451436176,105.94413959448109,26.215760887910506,2377.903835268589,119.95775213663651,173.484536578739
Belize,713.4155098677054,106.10158663067948,107.69396493114766,154.02664092992055,69.07137212013745,770.5062326821964,69.067609552224,23.53665978075057,2321.136340488176,110.26262566839684,197.4541383250177
Benin,869.5019309527652,38.37608759092073,128.11544746751548,97.14435409290336,68.88741376111845,623.8088117037454,27.48833441490113,13.757614895025023,2164.3684269198284,110.96484501651808,186.3235870244161
