LOCATION,Anxiety_disorders,Attention_deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bipolar_disorder,Conduct_disorder,Depressive_disorders,Eating_disorders,Idiopathic_developmental_intellectual_disability,Mental_disorders,Other_mental_disorders,Schizophrenia,Pays_code_iso3,Surpoids enfants <5 ans,Dépenses publiques santé,Anémie femmes 15-49 ans,Concentration particules air PM2.5,Aide eau et assainissement,Accès eau potable sûre,Usage combustibles propres,Violences conjugales sur la dernière année,Taux d'homicides,Indicateur nutrition poids/taille,Retard croissance enfants,Accès hygiène de base,Violences conjugales à vie,Déchets domestiques traités,Niveau d'assainissement,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie en bonne santé totale,Espérance de vie en bonne santé femmes,Espérance de vie en bonne santé hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Taux de mortalité maternelle,Incidence tuberculose,Traitement maladies tropicales,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels,Country Name_gpw,Country Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Country Name_sdg3,IncomeGroup
Afghanistan,622.1022620058264,46.3418334668832,112.2744105004885,131.84588637953732,53.24674349757952,928.5238710089824,29.884592444815528,39.65549047580178,2244.603665049283,106.81307466373822,173.91550060562986,AFG,4.4,1.13,45.4,75.19,46.1,30.0,38.6,35.0,8.3,3.6,42.0,48.0,46.0,6.1,,0.06,5.49,3.17,62.0,3.6,26.08,8.03,18.0,42.1,0.4,2.5,50.4,51.3,49.6,0.32,22.7,68.0,60.0,180.0,16.6,<0.1,13.26,32.7,0.0,55.5,42.0,269.0,34.3,41,35.0,58.0,521.0,24.1,16 959 219,59.1,61.0,57.4,4.81,,,,,,,Afghanistan,AFG,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,,Afghanistan,Low income
Albania,622.0556013878208,24.743526137320384,122.88937398302308,100.82938930099829,68.8461472592509,403.28854747050514,41.508016270032485,56.86705135299412,1747.731707311731,112.04155424000156,194.6624999097836,ALB,16.7,9.19,24.7,16.58,43.7,71.0,86.1,6.0,3.4,1.6,7.4,,13.0,12.7,56.0,10.27,58.21,18.79,9.8,2.8,8.85,1.41,0.2,6.3,0.3,0.2,66.7,67.8,65.7,10.8,21.9,100.0,97.0,15.0,3.2,<0.1,,10.0,5.0,9.4,93.0,92.0,6.9,64,88.0,85.0,7.0,10.8,3,76.4,78.6,74.4,3.4,74.0,,,,,,Albanie,ALB,3981.72662261867,4168.37544462548,4614.0479692596,5365.48880180298,5460.4305086932,5370.77749956875,6413.28280828537,6846.42669381643,8575.17134637222,10011.6279856667,Albania,Upper middle income
Algeria,509.06606816969406,46.71067355845408,140.16306066867995,140.24118441343532,53.71783867785976,841.6996910777323,55.204026036144114,29.993712368210225,2136.247787145752,111.396713041715,208.0548191338277,DZA,13.3,5.36,31.6,22.85,0.3,71.0,99.7,,1.6,2.7,8.9,85.0,,76.2,62.0,3.57,25.08,16.6,11.0,2.2,,,,66.3,0.1,0.5,65.5,64.8,66.4,3.0,21.2,99.0,92.0,47.0,4.1,<0.1,0.0,13.3,0.5,22.0,93.0,50.0,15.3,74,80.0,89.0,62.0,18.3,7656,76.0,76.6,75.5,0.04,,,,,,,Algérie,DZA,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4961.55257664733,5364.02795022731,5631.17999109851,Algeria,Upper middle income
American Samoa,497.37284716561095,37.58513832945191,114.126515958002,80.2913094574938,57.87847184969103,579.688601395685,37.54842752398322,27.106891920117505,1747.0012944473572,111.921925337166,203.4811655101553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,726.5394078735588,106.78601588808851,133.84913221072216,160.88693121804684,69.54708831413818,643.4680587614523,131.73752448380387,19.88061093491917,2324.784349544985,111.68050783085486,220.40907202940025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,494.1143468471751,37.12844029381796,118.91877488383516,81.17611708325909,57.780730017982194,570.6165595700843,49.03899278308625,25.60791569382824,1752.9670118139925,111.11487708067388,207.47025756025104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,824.8723912369238,72.5324985218758,183.26546358857465,125.78886881773738,61.03114847210964,846.2741996907537,92.01594714881364,26.29215681427325,2605.4921905535084,135.0489436306102,238.3705726318369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,490.4428308378019,37.823642434330274,117.24213624261066,81.70129822204711,57.872784080766735,574.8366833998508,50.982951951398064,25.681028380602854,1761.8140293573906,113.30446530311048,211.92620850487108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niue,500.96842006594267,36.96079184653461,115.41528956756731,81.17583944591374,57.31199516057978,576.8150683541973,38.88312329574764,26.92174809990636,1750.219895290301,111.12652583418507,204.64109361972763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,490.707653598137,37.951565719483256,121.72951544584826,80.78539202459588,58.26038595306315,576.7553090247922,42.64921910613352,25.96190389568922,1753.9053790331968,113.63339503921958,205.47103922623427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,666.771660583305,46.81773816765433,121.02877150389264,140.830173124689,53.55918463298893,907.5037286384788,40.47480740548086,34.024391684819186,2334.7568649108366,111.01721740733213,212.7291917621941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,483.6683432678719,39.832956819698,124.00232142094428,48.40065198795758,52.4130237311205,384.3113388731043,77.53286921905796,15.61541203690304,1556.354799865664,111.87977433845572,218.69810817055105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokelau,494.7347766123259,38.15242255616261,115.4244733664874,80.54732014667157,58.9998394224053,576.432780292863,36.264402302449305,27.207689173746093,1744.0085084360635,111.88179512606258,204.3630094368881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Virgin Islands,728.0968183128277,106.87439202508148,116.2781010940872,154.91711944189456,69.36219458399499,549.6730486538917,102.30782324719772,21.636904354860143,2161.5410454760777,110.90563163836444,201.48901212387747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,991.2001498135196,49.797228410166696,181.2916984361348,134.64906850614267,73.093433287895,731.0150109116332,108.61087372768358,24.569985401784542,2595.9571105269724,121.78506270496972,179.9445993270411,AND,,15.87,16.4,8.88,,91.0,100.0,,,,,,,100.0,100.0,12.11,47.22,50.68,0.5,,,,0.0,,0.0,,,,,9.77,36.3,100.0,98.0,5.7,,No data,,,11.1,2.6,96.0,,1.3,79,50.0,94.0,11.0,2.5,0,,,,,85.0,,,,,,Andorre,AND,38654.9347203095,40129.8192007698,40672.9943348258,42819.7745797624,41257.8045846483,37361.0900666982,42425.6996756291,42414.0590092117,46812.4484486309,49303.6733899464,Andorra,High income
Angola,801.8046998420009,42.53426335316436,127.07789020875414,96.88213598001524,70.65481633260814,1065.561231123001,35.08583501807188,11.487014270029318,2538.96186827233,109.14943085047128,178.7245512942138,AGO,4.7,6.7,43.8,32.32,17.4,,50.2,25.0,8.7,4.9,47.7,,38.0,,,0.07,18.73,2.44,,8.1,35.53,12.48,,29.8,4.6,1.0,53.8,54.7,52.8,0.4,,50.0,54.0,339.0,48.9,0.44,224.53,24.7,4.0,64.0,35.0,148.0,25.6,37,52.0,49.0,183.0,15.0,8 789 216,62.1,64.3,60.0,1.32,,0.4,,,,,Angola,AGO,3213.90261080059,1807.95294072643,2437.25971190821,2538.59139143371,2189.85571407618,1449.92286669308,1925.87466082167,2929.69445467272,2309.53413042773,2122.08368991872,Angola,Lower middle income
Antigua and Barbuda,732.9982109515195,106.54640624178916,112.7197366745023,156.79734552152547,69.47228439424144,649.4661769649575,91.49730542503411,21.93326033690534,2260.5458036329023,110.59303985968786,208.5220372627399,ATG,,13.99,20.3,8.42,,,100.0,,5.8,,,,,,,,96.5,29.17,32.7,1.5,,,0.3,,0.2,0.5,66.5,67.0,65.9,,,99.0,97.0,1.2,2.5,No data,,12.1,9.4,9.3,87.0,19.0,5.4,76,57.0,,35.0,7.5,254,76.9,78.4,75.2,0.0,1.0,,,,,,Antigua-et-Barbuda,ATG,16077.6340769406,16556.8551801588,16965.7288273816,18273.4270684912,18896.3721832248,15369.6082250401,17348.6006987182,20105.1989085164,21494.5474000727,23725.7903725506,Antigua and Barbuda,High income
Argentina,925.7783281737986,41.00797514297696,182.05013277494024,169.5593072210448,69.88902691621198,790.1783417887399,77.21390525766591,27.5495510726609,2566.0187581285577,119.41701471207854,163.37517506843815,ARG,14.3,15.22,23.5,11.23,57.9,,99.9,5.0,5.9,1.7,10.7,,27.0,23.6,,10.86,47.49,51.06,25.8,7.9,9.57,2.54,0.0,80.3,0.0,0.3,64.8,66.2,63.4,5.8,23.8,99.0,66.0,35.0,11.4,<0.1,0.0,13.4,8.8,9.6,54.0,30.0,5.0,79,59.0,71.0,33.0,8.8,147 183,74.6,77.6,71.6,0.29,36.0,,32.8,22.5,,,Argentine,ARG,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13935.6811110049,14187.4827252965,13858.2039802008,Argentina,Upper middle income
Armenia,722.8038165540668,24.7086133096313,112.56078180760352,104.0945900669264,69.19724009885425,646.4643772649438,40.4359907516152,57.76593610928848,2087.791575570267,110.13924054080496,199.620989066532,ARM,12.9,6.5,18.7,36.24,23.4,82.0,98.8,5.0,4.1,4.4,6.2,94.0,10.0,0.6,11.0,3.59,47.47,33.6,11.4,2.5,19.89,5.93,0.0,40.2,0.1,0.9,64.0,66.3,61.5,0.39,24.9,100.0,94.0,25.0,5.8,0.19,0.0,20.6,4.3,10.0,96.0,74.0,5.3,68,59.0,94.0,19.0,13.6,30,73.0,76.9,68.6,2.24,41.0,,,,,,Arménie,ARM,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8125.27395754003,8500.60522486719,Armenia,Upper middle income
