LOCATION,HWF_0010,HWF_0010-footnote,HWF_0010-footnote-short,HWF_0006,HWF_0006-footnote,HWF_0006-footnote-short,HWF_0001,HWF_0001-footnote,HWF_0001-footnote-short,MDG_0000000003_15_19,MDG_0000000003_15_19-footnote,MDG_0000000003_15_19-footnote-short,SDGSUICIDE,SDGSUICIDE-footnote,SDGSUICIDE-footnote-short,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP-footnote,FINPROTECTION_CATA_TOT_10_POP-footnote-short,FINPROTECTION_CATA_TOT_25_POP,FINPROTECTION_CATA_TOT_25_POP-footnote,FINPROTECTION_CATA_TOT_25_POP-footnote-short,MDG_0000000003_10_14,MDG_0000000003_10_14-footnote,MDG_0000000003_10_14-footnote-short,SDGFPALL,SDGFPALL-footnote,SDGFPALL-footnote-short,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV-footnote,SDGHEPHBSAGPRV-footnote-short,SDGPOISON,SDGPOISON-footnote,SDGPOISON-footnote-short,WHOSIS_000002_BTSX,WHOSIS_000002_BTSX-footnote,WHOSIS_000002_BTSX-footnote-short,WHOSIS_000002_FMLE,WHOSIS_000002_FMLE-footnote,WHOSIS_000002_FMLE-footnote-short,WHOSIS_000002_MLE,WHOSIS_000002_MLE-footnote,WHOSIS_000002_MLE-footnote-short,HWF_0014,HWF_0014-footnote,HWF_0014-footnote-short,M_Est_tob_curr_std,M_Est_tob_curr_std-footnote,M_Est_tob_curr_std-footnote-short,MDG_0000000025,MDG_0000000025-footnote,MDG_0000000025-footnote-short,WHS4_100,WHS4_100-footnote,WHS4_100-footnote-short,MDG_0000000020,MDG_0000000020-footnote,MDG_0000000020-footnote-short,SDGWSHBOD,SDGWSHBOD-footnote,SDGWSHBOD-footnote-short,SDGHIV,SDGHIV-footnote,SDGHIV-footnote-short,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE-footnote,MALARIA_EST_INCIDENCE-footnote-short,NCDMORT3070,NCDMORT3070-footnote,NCDMORT3070-footnote-short,SA_0000001688,SA_0000001688-footnote,SA_0000001688-footnote-short,MDG_0000000007,MDG_0000000007-footnote,MDG_0000000007-footnote-short,MCV2,MCV2-footnote,MCV2-footnote-short,SDGAIRBODA,SDGAIRBODA-footnote,SDGAIRBODA-footnote-short,WHOSIS_000003,WHOSIS_000003-footnote,WHOSIS_000003-footnote-short,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED-footnote,UHC_INDEX_REPORTED-footnote-short,SDGIHR2021,SDGIHR2021-footnote,SDGIHR2021-footnote-short,PCV3,PCV3-footnote,PCV3-footnote-short,MDG_0000000026,MDG_0000000026-footnote,MDG_0000000026-footnote-short,RS_198,RS_198-footnote,RS_198-footnote-short,SDGNTDTREATMENT,SDGNTDTREATMENT-footnote,SDGNTDTREATMENT-footnote-short,WHOSIS_000001_BTSX,WHOSIS_000001_BTSX-footnote,WHOSIS_000001_BTSX-footnote-short,WHOSIS_000001_FMLE,WHOSIS_000001_FMLE-footnote,WHOSIS_000001_FMLE-footnote-short,WHOSIS_000001_MLE,WHOSIS_000001_MLE-footnote,WHOSIS_000001_MLE-footnote-short,SDGODA01,SDGODA01-footnote,SDGODA01-footnote-short,SDGHPVRECEIVED,SDGHPVRECEIVED-footnote,SDGHPVRECEIVED-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote-short,AMR_INFECT_MRSA,AMR_INFECT_MRSA-footnote,AMR_INFECT_MRSA-footnote-short,AMR_INFECT_ECOLI,AMR_INFECT_ECOLI-footnote,AMR_INFECT_ECOLI-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_DRUGS,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote-short,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEALTHFACILITIESESSENTIALMEDS-footnote,SDGHEALTHFACILITIESESSENTIALMEDS-footnote-short
Afghanistan,0.06,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,5.49,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,3.17,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,62.0,Afghanistan 2022-2023 Multiple Indicator Cluster Survey,,3.6,,,26.08,,,8.03,,,18.0,Afghanistan 2022-2023 Multiple Indicator Cluster Survey,,42.1,2015-2016.    Afghanistan 2015 Demographic and Health Survey,,0.4,,,2.5,,,50.4,,,51.3,,,49.6,,,0.32,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,22.7,The most recent survey was conducted in 2019. This is a projection.,,68,"  UNICEF. 2023. Afghanistan Multiple Indicator Cluster Survey 2022-23, Summary Findings Report.
Kabul, Afghanistan: UNICEF.",,60,,,180,,,16.6,,,<0.1,,,13.26,,,32.7,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.0,,,55.5,,,42,,,269,,,34.3,,,41,,,35,,,58,,,521,,,24.1,,,16 959 219,Aggregation across diseases,,59.1,,,61.0,,,57.4,,,4.81,,,,,,,,,,,,,,,,,,,,
Albania,10.27,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,58.21,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,18.79,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,9.8,Registration Eurostat,,2.8,,,8.85,,,1.41,,,0.2,Registration Eurostat,,6.3,2017-2018.    Albania 2017-2018 Demographic and Health Survey,,0.3,,,0.2,,,66.7,,,67.8,,,65.7,,,10.8,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,21.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017-18. This is a projection.,,100,"skilled health personnel Institute of Statistics, Men and Women 2023",,97,,,15,,,3.2,,,<0.1,,,,,,10.0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,5.0,,,9.4,,,93,,,92,,,6.9,,,64,,,88,,,85,,,7,,,10.8,,,3,Aggregation across diseases,,76.4,,,78.6,,,74.4,,,3.4,,,74,,,,,,,,,,,,,,,,,
Algeria,3.57,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,25.08,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,16.6,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,11.0,Registration National Statistics,,2.2,,,,,,,,,,,,66.3,2018-2019.    Algeria 2018-2019 Multiple Indicator Cluster Survey,,0.1,,,0.5,,,65.5,,,64.8,,,66.4,,,3,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,21.2,The most recent survey was conducted in 2016-17. This is a projection.,,99," Enquête par grappes à indicateurs multiples (MICS) Algérie, 2018-2019. Alger: Ministère de la Santé, de la Population et de la Réforme Hospitalière; 2020 (in French). ",,92,,,47,,,4.1,,,<0.1,,,0,,,13.3,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.5,,,22.0,,,93,,,50,,,15.3,,,74,,,80,,,89,,,62,,,18.3,,,7656,Aggregation across diseases,,76.0,,,76.6,,,75.5,,,0.04,,,,,,,,,,,,,,,,,,,,
Andorra,12.11,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,47.22,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,50.68,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,0.5,Registration National Statistics & WPP2024,,,,,,,,,,,0,Registration National Statistics & WPP2024,,,,,0.0,,,,,,,,,,,,,,,9.77,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,36.3,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017-18. This is a projection.,,100,"Skilled health personnel  Department d'Estadistica, Govern d'Andorra. Data provided to Unicef via country consultation 2019.  ",,98,,,5.7,,,,,,No data,,,,,,,,,11.1,,,2.6,,,96,,,,,,1.3,,,79,,,50,,,94,,,11,,,2.5,,,0,Aggregation across diseases,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,
Angola,0.07,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,18.73,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.44,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,8.1,,,35.53,,,12.48,,,,,,29.8,2015-2016.    Angola 2015-2016 Demographic and Health Survey,,4.6,,,1.0,,,53.8,,,54.7,,,52.8,,,0.4,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,50," Instituto Nacional de Estatística (INE), Ministério da Saúde (MINSA), Ministério do Planeamento e do Desenvolvimento Territorial (MINPLAN), ICF. Inquérito de Indicadores Múltiplos e de Saúde em Angola 2015-2016. Luanda, Angola e Rockville, Maryland, EUA: INE, MINSA, MINPLAN, ICF; 2017 (in Portuguese). ",,54,,,339,,,48.9,,,0.44,,,224.53,,,24.7,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,4.0,,,64.0,,,35,,,148,,,25.6,,,37,,,52,,,49,,,183,,,15.0,,,8 789 216,Aggregation across diseases,,62.1,,,64.3,,,60.0,,,1.32,,,,,,0.4,,,,,,,,,,,,,,
Antigua and Barbuda,,,,96.5,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,29.17,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,32.7,Registration National Statistics & WPP2024,,1.5,,,,,,,,,0.3,Registration National Statistics & WPP2024,,,,,0.2,,,0.5,,,66.5,,,67,,,65.9,,,,,,,,,99,"Trained personnel PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos), accessed September 30, 2021). ",,97,,,1.2,,,2.5,,,No data,,,,,,12.1,,,9.4,,,9.3,,,87,,,19,,,5.4,,,76,,,57,,,,,,35,,,7.5,,,254,Aggregation across diseases,,76.9,,,78.4,,,75.2,,,0,,,1,,,,,,,,,,,,,,,,,
Argentina,10.86,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,47.49,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,51.06,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,25.8,Registration National Statistics & WPP2024,,7.9,,,9.57,,,2.54,,,0,Registration National Statistics & WPP2024,,80.3,2019-2020.    Argentina 2019-2020 Multiple Indicator Cluster Survey,,0.0,,,0.3,,,64.8,,,66.2,,,63.4,,,5.8,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,23.8,The most recent survey was conducted in 2018. This is a projection.,,99," Encuesta Nacional de Niñas, Niños y Adolescentes (MICS) 2019-2020",,66,,,35,,,11.4,,,<0.1,,,0,,,13.4,,,8.8,,,9.6,,,54,,,30,,,5.0,,,79,,,59,,,71,,,33,,,8.8,,,147 183,Aggregation across diseases,,74.6,,,77.6,,,71.6,,,0.29,,,36,,,,,,32.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,22.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Armenia,3.59,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,47.47,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,33.6,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,11.4,Registration National Statistics & WPP2024,,2.5,,,19.89,,,5.93,,,0,Registration National Statistics & WPP2024,,40.2,2015-2016.    Armenia 2015-16 Demographic and Health Survey,,0.1,,,0.9,,,64.0,,,66.3,,,61.5,,,0.39,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,24.9,The most recent survey was conducted in 2016. This is a projection.,,100,"Doctor, nurse and/or midwife or feldsher National Statistical Service [Armenia], Ministry of Health [Armenia], ICF. Armenia Demographic and Health Survey 2015-16. Rockville, Maryland, USA: National Statistical Service, Ministry of Health, ICF; 2017.",,94,,,25,,,5.8,,,0.19,,,0,,,20.6,,,4.3,,,10.0,,,96,,,74,,,5.3,,,68,,,59,,,94,,,19,,,13.6,,,30,Aggregation across diseases,,73.0,,,76.9,,,68.6,,,2.24,,,41,,,,,,,,,,,,,,,,,
Australia,6.41,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,134.5,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,40.86,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.7,Registration National Statistics & WPP2024,,13.1,,,2.47,,,0.4,,,0.1,Registration National Statistics & WPP2024,,,,,0.1,,,0.1,,,70.6,,,71.1,,,70.1,,,9.37,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,13.1,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020-21. This is a projection.,,99," Australian Institute of Health and Welfare. Australia's mothers and babies [Internet]. Canberra: Australian Institute of Health and Welfare, 2023 [cited 2023 Sep. 20]. Available from: https://www.aihw.gov.au/reports/mothers-babies/australias-mothers-babies",,94,,,6.2,,,1.9,,,No data,,,,,,8.3,,,11.2,,,3.7,,,93,,,10,,,2.3,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,91,,,95,,,2,,,4.5,,,10 441,Aggregation across diseases,,83.1,,,84.9,,,81.3,,,,,,71,,,,,,15,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,12.7,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Austria,6.19,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,112.8,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,55.15,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,3.9,Registration Eurostat,,14.5,,,,,,,,,0.0,Registration Eurostat,,,,,0.2,,,0.2,,,69.8,,,70.5,,,69.1,,,7.62,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,24.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.,,98, Statistics Austria. Medical and socio-medical characteristics of newborns.Vienna; 2023 (https://www.statistik.at/en/search?L=1&id=582&tx_solr%5Bq%5D=place+of+birth).,,84,,,5.2,,,2,,,No data,,,,,,9.9,,,11.8,,,3.1,,,94,,,17,,,2.0,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,67,,,,,,6,,,4.6,,,54,Aggregation across diseases,,81.0,,,83.3,,,78.7,,,,,,53,,,,,,3.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,8.1,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
